text,label,model
"[10, 389, 3289, 1, 14, 124, 931, 12, 21, 0, 10, 467, 1, 14, 284, 4, 246, 13, 114, 18, 1, 2054, 3, 2, 0, 1082, 9, 735, 1, 21, 1247, 555, 2922, 0, 1]",0,3.0
"[0, 2495, 3, 3712, 3, 328, 1735, 2, 299, 24, 0, 18, 1032, 299, 30, 419, 2663, 2, 2282, 0, 6, 1265, 1933, 2712, 3, 339, 550, 3, 1796, 3, 1058, 0, 3, 493, 3, 2540, 3, 2672, 7, 0, 878, 1953, 1]",1,8.0
"[1065, 41, 1720, 40, 0, 12, 3064, 0, 7, 216, 1, 519, 41, 846, 5, 25, 0, 8, 8, 0, 1, 92, 164, 3921, 49, 1903, 28, 4, 32, 40, 0, 38, 747, 100, 273, 3, 2, 715, 38, 119, 0, 277, 2, 0, 17, 2082, 1, 56, 41, 28, 44, 5, 1752, 9, 1016, 110, 1, 13, 10, 39, 0, 922, 59, 11, 606, 2, 0, 6, 39, 0, 1, 310, 2189, 2, 170, 291, 25, 194, 60, 20, 1903, 4, 463, 50, 8, 8, 39, 839, 25, 11, 8, 83, 2988, 8, 8, 11, 8, 154, 0, 180, 4194, 1, 0, 24, 180, 2672, 1, 3863, 180, 742, 3219, 3, 195, 3, 0, 3, 0, 1, 11, 55, 774, 178, 0, 35, 95, 6, 13, 1, 29, 90, 179, 370, 812, 376, 11, 32, 0, 163, 20, 77, 28, 1140, 9, 95, 563, 1, 163, 12, 41, 44, 186, 3416, 110, 497, 1, 2, 1012, 4, 296, 1, 2, 3840, 6, 4032, 780, 40, 3840, 6, 0, 1]",1,8.0
"[5, 2060, 0, 541, 2, 2831, 6, 0, 0, 0, 2, 372, 6, 5, 98, 643, 5, 954, 1, 2, 954, 4673, 12, 0, 0, 17, 46, 8, 37, 616, 5, 2060, 24, 53, 1, 11, 128, 2, 954, 9, 2, 98, 8, 15, 363, 1, 13, 10, 61, 5, 251, 0, 35, 2, 2831, 3, 7, 13, 10, 128, 155, 2, 439, 6, 2, 2834, 1, 11, 1755, 4, 192, 2, 1315, 25, 13, 8, 8, 3, 29, 56, 8, 15, 68, 160, 1702, 18, 2, 2060, 34, 1237, 3344, 1, 2, 1702, 38, 102, 1073, 0, 18, 2, 2060, 1, 11, 10, 932, 3, 0, 7, 0, 33, 2, 84, 45, 1, 102, 3, 102, 34, 66, 46, 8, 37, 0, 57, 1, 13, 8, 15, 478, 22, 80, 2, 2060, 17, 1062, 7, 2, 0, 38, 0, 4, 5, 0, 451, 1, 2, 0, 192, 2, 1702, 22, 0, 592, 2, 2834, 4, 1764, 42, 8, 115, 18, 2, 152, 1875, 1, 34, 87, 342, 157, 12, 42, 77, 2557, 244, 54, 85, 81, 80, 42, 38, 46, 8, 37, 2302, 3, 11, 8, 83, 0, 179, 332, 19, 39, 666, 181, 85, 179, 0, 78, 3, 47, 78, 46, 8, 37, 1, 2, 954, 10, 4674, 7, 0, 4, 3620, 1]",1,8.0
"[5, 807, 0, 0, 40, 315, 845, 5, 0, 1, 25, 0, 94, 8, 8, 25, 11, 123, 0, 91, 12, 1476, 1, 8, 8, 25, 55, 3, 39, 166, 1652, 1, 8, 8, 25, 0, 3, 11, 101, 1, 8, 8, 25, 7, 20, 8, 115, 151, 9, 713, 50, 8, 8, 25, 11, 71, 116, 4, 713, 16, 0, 2, 0, 68, 181, 3, 29, 11, 66, 46, 8, 37, 368, 13, 8, 15, 95, 6, 79, 493, 1, 8, 8, 25, 159, 3, 226, 3, 8, 8, 3, 2, 364, 2066, 3, 25, 11, 0, 12, 20, 32, 5, 256, 615, 6, 5, 1976, 3, 20, 101, 50, 29, 13, 8, 15, 28, 12, 181, 1, 8, 8, 25, 93, 16, 1332, 1, 11, 66, 46, 8, 37, 176, 4, 0, 13, 16, 20, 1, 8, 8, 2, 364, 1512, 21, 0, 86, 2, 0, 3]",0,0.0
"[5, 2546, 19, 5, 1, 11, 1, 17, 18, 5, 2842, 942, 19, 443, 0, 4, 0, 298, 419, 938, 54, 51, 2965, 3, 1281, 5, 1463, 6, 288, 7, 338, 2, 0, 4, 3535, 2, 684, 1, 59, 14, 4175, 54, 9, 21, 2965, 8, 15, 228, 3, 2, 2965, 17, 54, 3, 2, 288, 17, 597, 7, 2, 0, 38, 338, 1, 2, 5, 1, 11, 1, 41, 5, 524, 6, 3291, 1, 25, 166, 419, 3, 1289, 3, 8, 8, 11, 1350, 3, 270, 4, 699, 1258, 1, 2, 2804, 440, 1742, 2205, 39, 3113, 139, 11, 0, 2, 228, 1, 11, 1371, 3, 11, 131, 1271, 5, 228, 113, 3, 68, 11, 26, 4, 173, 6, 163, 1, 58, 8, 207, 11, 3248, 50, 11, 8, 83, 301, 24, 2, 977, 1155, 1, 11, 1583, 11, 271, 4, 91, 163, 35, 39, 2570, 4, 66, 39, 4540, 1, 11, 77, 93, 13, 8, 15, 361, 102, 3, 19, 53, 2, 2424, 288, 7, 737, 319, 57, 226, 85, 5, 1258, 5, 1, 11, 1, 47, 109, 61, 5, 1463, 50, 8, 8, 14, 23, 1, 11, 0, 1, 288, 50, 194, 10, 2, 1463, 56, 50, 2, 2444, 43, 597, 94, 11, 0, 1, 56, 26, 44, 40, 1281, 16, 3593, 4, 5, 450, 12, 14, 158, 4, 1218, 54, 35, 2, 0, 1, 2, 1281, 10, 16, 0, 3, 29, 14, 475, 55, 656, 194, 14, 60, 32, 95, 656, 4, 304, 54, 102, 1, 11, 0, 0, 21, 1683, 440, 3, 967, 28, 127, 2356, 1]",0,2.0
"[2, 0, 6, 2291, 7, 1971, 132, 2755, 2671, 4, 51, 1988, 4382, 1]",0,7.0
"[26, 44, 336, 182, 409, 0, 3801, 1, 14, 133, 4, 2, 639, 7, 208, 58, 10, 1633, 1, 14, 26, 44, 3233, 2, 639, 180, 431, 1, 2, 639, 121, 65, 14, 465, 2444, 1, 466, 2, 2444, 7, 14, 17, 181, 335, 102, 1]",0,5.0
"[113, 260, 2999, 2, 152, 4, 896, 9, 0, 3, 0, 3749, 1588, 2, 0, 1568, 1, 3749, 10, 668, 9, 0, 552, 3, 3541, 3, 18, 1075, 1640, 3, 0, 1, 27, 10, 1176, 4, 0, 3749, 9, 0, 3, 7, 2, 710, 26, 45, 452, 1, 3749, 328, 36, 0, 147, 16, 927, 346, 7, 260, 8, 15, 346, 9, 2, 492, 0, 3, 59, 27, 1588, 2, 0, 1568, 1, 72, 260, 414, 2, 152, 4, 896, 9, 0, 3, 3749, 337, 36, 964, 4, 89, 953, 3, 252, 2, 0, 6, 452, 1305, 7, 2, 0, 6, 1039, 16, 1499, 808, 1, 27, 87, 569, 4, 2628, 2, 775, 7, 866, 1367, 6, 3860, 0, 1, 9, 0, 3, 24, 2, 608, 6, 0, 3, 3749, 555, 2, 4327, 167, 9, 2, 106, 1, 27, 341, 18, 1064, 572, 3, 959, 3, 24, 2, 608, 6, 0, 110, 3, 0, 251, 1]",0,1.0
"[10, 726, 0, 7, 465, 365, 1, 27, 162, 4, 631, 5, 231, 1, 27, 10, 236, 4, 918, 5, 268, 6, 286, 16, 2, 231, 1, 10, 236, 4, 454, 36, 3534, 1, 27, 10, 236, 4, 631, 2, 231, 27, 465, 1]",0,6.0
"[7, 133, 4, 2, 1587, 16, 5, 0, 1, 34, 522, 5, 3867, 467, 6, 288, 7, 0, 1, 34, 460, 16, 362, 1852, 2, 2088, 3, 495, 5, 3312, 2834, 1, 24, 2, 0, 479, 34, 137, 208, 5, 599, 0, 1, 34, 1193, 134, 1029, 29, 293, 19, 2, 69, 34, 798, 412, 1]",1,8.0
"[2, 1608, 569, 1, 180, 764, 4200, 18, 519, 41, 44, 272, 4, 1992, 9, 413, 539, 1, 933, 2, 1608, 569, 1, 180, 764, 4200, 18, 519, 41, 44, 272, 4, 1992, 9, 413, 539, 1, 280, 0, 23, 3, 0, 301, 24, 36, 0, 1, 280, 102, 42, 826, 1, 13, 17, 53, 9, 51, 546, 102, 1, 0, 349, 791, 43, 84, 4, 863, 280, 72, 53, 3, 51, 0, 43, 151, 24, 40, 0, 96, 3, 7, 1553, 43, 361, 2991, 19, 308, 2851, 3, 2472, 4, 93, 58, 1656, 3851, 4, 945, 1, 3291, 0, 81, 9, 557, 108, 5, 1734, 1, 34, 43, 127, 159, 1751, 58, 89, 632, 43, 125, 4, 66, 4, 81, 72, 34, 1166, 61, 58, 506, 1, 0, 785, 6, 349, 791, 3, 72, 135, 0, 35, 21, 159, 4879, 750, 3, 7, 151, 1008, 0, 0, 0, 0, 3, 832, 21, 1202, 4, 1630, 1001, 4434, 3, 1653, 3, 7, 581, 1, 0, 6, 738, 778, 81, 4, 0, 53, 0, 7, 0, 417, 4, 1862, 1]",1,8.0
"[0, 2, 500, 17, 467, 7, 2, 112, 17, 522, 113, 30, 48, 18, 5, 4208, 1404, 1]",0,7.0
"[465, 5, 70, 2483, 977, 1, 21, 261, 45, 10, 46, 8, 37, 676, 22, 1329, 1352, 1, 133, 4, 2, 977, 392, 1, 14, 208, 5, 3017, 70, 2483, 12, 10, 1168, 1, 14, 466, 45, 1]",0,5.0
"[307, 133, 4, 2, 512, 0, 1, 14, 78, 46, 8, 37, 101, 58, 4, 1218, 1, 14, 10, 1461, 14, 60, 31, 46, 8, 37, 91, 305, 1, 59, 14, 133, 4, 3248, 163, 14, 128, 163, 18, 5, 1343, 1, 13, 10, 4356, 4, 5, 4646, 7, 10, 40, 261, 512, 14, 2863, 1]",0,2.0
"[26, 325, 21, 274, 1, 14, 465, 286, 1, 14, 128, 5, 205, 69, 274, 18, 2, 1094, 1, 569, 21, 138, 54, 2, 0, 1, 72, 5, 431, 26, 119, 383, 4, 631, 5, 231, 94]",0,2.0
"[1063, 18, 441, 23, 13, 60, 1010, 2, 1167, 6, 82, 0, 0, 4516, 19, 0, 2420, 139, 0, 0, 13, 19, 2407, 0, 1, 2, 0, 0, 4516, 19, 0, 2420, 64, 102, 402, 24, 1775, 3, 0, 3, 129, 35, 82, 1011, 1167, 6, 1775, 3, 0, 1, 2, 2483, 64, 31, 898, 19, 5, 285, 1, 0, 0, 0, 4423, 0, 0, 3, 0, 6, 2325, 3, 7, 0, 6, 2874, 4574, 1, 13, 64, 87, 31, 898, 19, 5, 285, 1, 0, 0, 0, 4423, 0, 0, 3, 0, 6, 2325, 3, 7, 0, 6, 2874, 4574, 1]",0,1.0
"[11, 1220, 18, 2, 2929, 9, 429, 6, 120, 642, 4, 432, 9, 2, 1431, 1, 1079, 39, 0, 1470, 146, 261, 258, 4401, 1, 3874, 282, 121, 157, 34, 1220, 56, 24, 191, 1, 2275, 39, 316, 208, 664, 19, 398, 3874, 260, 1, 11, 173, 14, 41, 469, 5, 0, 8, 98, 1]",1,8.0
"[518, 162, 14, 158, 4, 304, 21, 2859, 5, 644, 1976, 1, 13, 10, 840, 0, 88, 1, 14, 1219, 5, 1671, 6, 0, 9, 51, 860, 4541, 1, 14, 137, 133, 4, 51, 2393, 7, 1154, 81, 1746, 2, 0, 1, 180, 146, 3, 34, 1351, 57, 5, 1444, 6, 51, 0, 9, 0, 1]",1,8.0
"[401, 619, 1211, 641, 3544, 0, 8, 15, 1433, 4, 2183, 2, 0, 0, 337, 86, 5, 2924, 72, 775, 499, 1317, 0, 21, 70, 1319, 1266, 1, 0, 984, 21, 2300, 1319, 1266, 18, 399, 1, 13, 1753, 5, 1191, 6, 65, 3, 19, 5, 1327, 0, 18, 21, 248, 3, 834, 209, 4, 21, 316, 0, 3713, 2, 3747, 605, 8, 15, 0, 1, 2, 0, 1221, 796, 555, 2, 1102, 6, 662, 0, 3, 19, 1379, 1317, 1849, 4, 4077, 2, 1464, 4, 5, 2128, 6, 0, 0, 3, 35, 2304, 0, 35, 0, 7, 241, 8, 0, 0, 1, 0, 1385, 12, 2, 1309, 291, 61, 3544, 0, 8, 15, 1319, 1266, 17, 109, 2, 2616, 1135, 4, 1209, 20, 1490, 2, 228, 1, 89, 1317, 162, 4, 66, 51, 219, 1522, 6, 2, 1266, 1, 97, 171, 2, 1250, 16, 97, 76, 0, 0, 76, 549, 0, 1, 2490, 0, 0, 0, 8, 15, 0, 4310, 1382, 8, 15, 248, 1550, 0, 8, 15, 7, 3742, 203, 18, 3544, 3, 13, 8, 15, 39, 621, 3, 5, 3456, 4, 1382, 694, 16, 0, 4, 1132, 129, 22, 1211, 641, 7, 3258, 1394, 65, 3, 13, 8, 15, 39, 621, 102, 1, 417, 171, 2, 2352, 3010, 3, 19, 0, 0, 2, 710, 8, 15, 1528, 1550, 4446, 0, 7, 0, 0, 3, 139, 0, 0, 51, 1528, 1550, 2, 0, 0, 1101, 2514, 3806, 378, 0, 1, 59, 190, 61, 2, 1266, 3, 5, 3772, 16, 0, 8, 15, 315, 121, 168, 42, 66, 28, 8, 3418, 8, 657, 2, 1266, 3, 2438, 38, 625, 4, 51, 241, 7, 3160, 3, 73, 1165, 8, 37, 1135, 4, 57, 4, 31, 12, 3299, 5, 579, 331, 653, 45, 73, 3314, 142, 550, 1]",1,8.0
"[284, 4, 0, 19, 36, 258, 1, 59, 27, 123, 4, 2, 209, 374, 380, 3, 27, 26, 5, 566, 1, 36, 3656, 10, 2875, 1, 26, 4, 826, 40, 1088, 16, 36, 241, 4, 203, 1, 59, 27, 123, 134, 3, 8, 15, 3656, 10, 2875, 225, 1]",0,0.0
"[1271, 79, 696, 2720, 3801, 50, 80, 20, 32, 3, 20, 434, 32, 931, 12, 696, 41, 44, 2596, 5, 70, 2707, 12, 2461, 20, 4, 1351, 2408, 4, 89, 67, 18, 696, 234, 387, 4, 2299, 81, 22, 241, 1, 2, 70, 2707, 3, 73, 17, 1293, 135, 3774, 18, 5, 1779, 326, 6, 67, 9, 2, 104, 103, 3, 17, 1720, 4, 122, 13, 2807, 16, 20, 4, 3240, 19, 67, 20, 101, 3, 29, 49, 38, 28, 79, 241, 18, 696, 1, 2, 70, 2707, 3, 73, 17, 214, 1046, 3808, 3, 64, 944, 20, 4, 1351, 5, 1046, 4, 327, 49, 17, 28, 79, 258, 18, 696, 3, 234, 387, 4, 2299, 81, 22, 5, 258, 1, 80, 2, 167, 20, 38, 270, 4, 3240, 19, 210, 28, 32, 5, 696, 1517, 3, 47, 80, 34, 32, 51, 3088, 0, 272, 4, 241, 92, 3, 20, 64, 28, 31, 236, 4, 1351, 81, 5, 1046, 1, 80, 2, 167, 20, 38, 270, 4, 3240, 19, 210, 32, 5, 696, 1517, 3, 7, 51, 3088, 0, 38, 28, 272, 4, 241, 92, 3, 20, 64, 31, 236, 4, 1351, 81, 5, 1046, 3, 29, 34, 64, 28, 31, 236, 4, 93, 79, 3228, 3, 47, 95, 6, 79, 3890, 1]",0,1.0
"[0, 9, 5, 326, 6, 473, 2, 96, 41, 2216, 4, 3849, 2, 3719, 6, 242, 1666, 33, 1579, 12, 3, 4, 2, 2142, 12, 1666, 43, 0, 141, 2, 96, 3546, 2641, 195, 3, 34, 43, 636, 33, 2, 96, 16, 2, 1941, 6, 0, 0, 0, 49, 43, 28, 616, 1312, 4, 1666, 141, 2, 195, 1, 287, 3, 2, 1901, 41, 44, 18, 2, 96, 4, 1836, 12, 5, 0, 0, 0, 17, 9, 379, 1312, 4, 2, 1666, 1]",0,7.0
"[2, 98, 4921, 21, 1337, 1, 21, 1337, 123, 523, 1, 21, 316, 190, 4, 226, 24, 13, 1, 27, 1618, 1337, 4884, 1, 2, 1337, 4884, 1154, 1]",1,8.0
"[0, 10, 1290, 7, 278, 12, 0, 193, 60, 613, 36, 159, 1, 0, 278, 12, 0, 193, 60, 613, 36, 159, 1, 27, 10, 301, 790, 4, 336, 218, 35, 36, 483, 7, 387, 74, 3599, 1, 27, 87, 1248, 2, 577, 6, 135, 145, 89, 67, 36, 608, 1]",0,1.0
"[16, 2, 1514, 845, 908, 3, 42, 4479, 12, 2, 498, 8, 15, 294, 210, 28, 1386, 2, 4678, 6, 95, 2429, 141, 792, 682, 47, 792, 1290, 1]",0,7.0
"[180, 146, 3, 4346, 4, 1351, 52, 1319, 2438, 1, 30, 146, 3, 27, 10, 300, 236, 4, 1, 27, 26, 2, 677, 146, 155, 1, 4, 36, 1483, 3, 27, 123, 5, 4802, 723, 1, 27, 71, 46, 8, 37, 826, 4, 66, 13, 225, 1]",0,5.0
"[5, 1995, 0, 0, 10, 9, 4114, 3, 29, 0, 1487, 18, 385, 72, 1997, 135, 481, 33, 5, 1208, 75, 4795, 35, 2, 302, 172, 1, 5, 1699, 1885, 40, 0, 36, 800, 22, 27, 10, 635, 4, 36, 418, 8, 15, 860, 221, 4, 879, 1576, 18, 1758, 0, 1, 2, 2519, 3, 23, 721, 264, 3, 1637, 92, 0, 7, 2095, 0, 1, 0, 1202, 3, 2, 3092, 1915, 568, 3, 23, 14, 71, 28, 4366, 109, 2, 0, 10, 481, 1, 2, 2519, 3, 73, 0, 18, 2, 302, 172, 2695, 3, 10, 484, 61, 728, 5, 1, 83, 1, 385, 3, 72, 5, 0, 0, 10, 0, 1, 1765, 7, 4859, 440, 568, 2271, 0, 23, 2, 1208, 1182, 0, 19, 140, 7, 1067, 1077, 515, 1, 55, 442, 1374, 43, 1067, 1, 2, 817, 1278, 8, 37, 292, 3, 0, 23, 1, 2, 177, 87, 214, 16, 2, 0, 1239, 2355, 3, 73, 0, 1292, 3485, 0, 1, 56, 17, 55, 0, 2, 638, 64, 32, 4, 31, 2082, 3, 324, 23, 18, 1379, 1, 11, 8, 83, 1120, 1760, 30, 506, 234, 95, 442, 795, 1, 11, 101, 2, 0, 0, 0, 41, 320, 44, 359, 90, 7, 2, 302, 172, 17, 2, 229, 221, 16, 13, 1, 5, 2198, 23, 2, 2065, 8, 15, 275, 10, 1194, 7, 82, 275, 10, 0, 3, 29, 13, 75, 0, 114, 86, 2, 620, 3, 0, 23, 1, 13, 508, 8, 37, 481, 95, 1500, 47, 89, 2031, 1, 56, 43, 55, 1732, 18, 709, 3, 0, 23, 1, 168, 8, 15, 0, 0, 589, 4, 30, 215, 1, 302, 172, 568, 4554, 0, 1]",0,0.0
"[11, 26, 5, 3730, 2, 89, 191, 1, 13, 10, 68, 3091, 12, 13, 958, 57, 54, 35, 39, 750, 1, 13, 171, 57, 5, 186, 69, 4, 116, 114, 4, 527, 1, 11, 300, 123, 114, 4, 750, 1, 11, 958, 54, 2, 209, 419, 7, 10, 127, 1029, 35, 387, 0, 54, 1]",1,8.0
